,simbolo,tipo,sub_tipo,descricao,dividend_yield,patrimonio_liquido,liquidez_diaria_media,ultimo_rendimento,valor_patrimonial,rentabilidade_mes,p_vp,cotas_emitidas,numero_cotistas,min_semanas,max_semanas,valorizacao
33,BLMO11,Tijolo,Lajes Corporativas,,1211.64,126600000.0,"345,5K",0.0,33347.26,11.76,,3797,88,59.16,95.0,25.25
34,BLMR11,Papel,Fundo de Fundos,,8.94,194300000.0,"499,6K",0.88,7.61,0.9,,25541630,18558,6.1,7.55,0.45
35,BLUR11,Papel,Papéis,,11.83,8100000.0,"2,3K",1.1,89.61,1.22,,90000,135,80.0,102.0,2.44
36,BMLC11,Tijolo,Lajes Corporativas,,11.12,111600000.0,"385,4K",0.95,111.79,-0.85,,998405,1326,98.0,108.99,5.9
37,BNFS11,Tijolo,Agências de Bancos,,14.21,64300000.0,"175,1K",1.31,91.89,-0.59,,700000,5119,110.95,125.91,1.66
38,BPFF11,Papel,Fundo de Fundos,,10.05,342600000.0,"354,0K",0.97,76.26,5.69,,4492326,17859,57.65,74.65,15.74
39,BPML11,Tijolo,Shoppings,,0.57,574400000.0,"609,9K",0.72,133.42,-1.45,,4305079,1344,51.9,96.0,51.2
40,BPRP11,Tijolo,Imóveis Industriais e Logísticos,,9.97,148900000.0,"12,5K",0.99,110.3,14.61,,1349837,170,90.11,110.04,19.61
41,BRCO11,Tijolo,Imóveis Industriais e Logísticos,,8.19,1800000000.0,"3,4M",1.03,120.6,2.1,,14778781,119131,90.3,128.45,26.27
42,BRCR11,Tijolo,Lajes Corporativas,,8.63,2700000000.0,"2,5M",0.61,99.92,1.86,,26638202,149874,50.45,70.59,2.16
43,BREV11,Tijolo,Lajes Corporativas,,4.99,113900000.0,"271,5K",0.89,117.73,-0.14,,967201,320,85.0,127.0,0.94
44,BRIM11,Fundo Misto,Fundo de Desenvolvimento,,23.88,132800000.00000001,"26,5K",0.95,1070.17,38.73,,124137,222,730.0,1014.0,38.73
45,BRIP11,Fundo Misto,Fundo de Desenvolvimento,,17.89,244500000.0,"1,5K",0.88,1134.48,21.05,,215475,253,909.0,1150.0,10.31
46,BRLA11,Tijolo,Imóveis Industriais e Logísticos,,9.33,553000000.0,618,0.9,158.26,5.93,,3494468,277,125.0,163.7,1.38
47,BROF11,Outros,Lajes Corporativas,,8.29,1200000000.0,"2,3M",0.52,107.25,-8.09,,11610812,7786,55.71,70.9,11.59
48,BTAL11,Tijolo,Imóveis Industriais e Logísticos,,11.62,627700000.0,"1,0M",0.74,104.91,-1.25,,5982736,45547,72.0,97.45,16.68
49,BTCI11,Outros,Papéis,,12.23,1000000000.0,"2,2M",0.98,10.22,-0.7,,99521172,140863,8.55,10.0,12.23
50,BTCR11,Papel,Papéis,,1.02,458300000.0,"652,8K",0.92,95.27,-2.38,,4810097,16934,85.45,88.0,2.98
51,BTHI11,Sem categoria,Hotéis,,23.68,396200000.0,"38,5K",1.01,42.97,-2.98,,9218512,684,42.0,125.99,61.41
52,BTLG11,Tijolo,Imóveis Industriais e Logísticos,,8.65,2800000000.0,"7,6M",1.05,99.06,0.28,,28492634,260030,91.33,107.48,5.04
53,BTRA11,Fundo Misto,Indefinido,,13.85,420700000.0,"402,0K",0.5,125.05,0.98,,3364559,21146,57.58,86.94,25.89
54,BTSG11,Tijolo,Imóveis Industriais e Logísticos,,7.71,112600000.0,"21,0K",0.96,145.24,1.11,,775015,94,100.01,140.0,38.99
55,BTSI11,Fundo Misto,Misto,,8.88,278200000.0,99,0.85,114.5,-4.92,,2429809,114,64.89,105.0,7.14
56,BTWR11,Fundo Misto,Fundo de Desenvolvimento,,6.08,90500000.0,109,0.98,111.8,2.79,,809269,69,107.0,110.0,2.24
57,CACR11,Papel,Papéis,,17.13,386200000.0,"1,5M",1.01,100.99,-0.14,,3823767,19552,99.68,108.0,1.46
58,CBOP11,Tijolo,Lajes Corporativas,,4.77,104400000.0,"15,4K",0.41,73.79,-1.82,,1415000,3178,30.0,49.56,39.04
59,CCME11,Fundo Misto,Indefinido,,10.2,564100000.0,"2,4K",1.04,103.07,-0.01,,5472579,155,90.01,130.0,9.08
60,CCRF11,Papel,Papéis,,8.7,143000000.0,"1,3K",1.02,91.0,-0.95,,1571900,317,77.22,99.85,2.78
61,CEOC11,Tijolo,Lajes Corporativas,,14.37,142500000.0,"50,8K",0.6,78.46,-0.99,,1815696,4972,44.12,65.01,17.14
62,CFHI11,Fundo Misto,Fundo de Desenvolvimento,,0.6,58900000.0,"5,3M",0.98,622.62,,,94600,54,610.0,935.66,34.81
